500
0	-73.0716	-40.2987	5
1	-73.058	-40.509	5
2	-72.9207	-40.3547	3
3	-72.8904	-40.2206	3
4	-72.8066	-40.2716	3
5	-72.8203	-40.5355	1
6	-72.6058	-40.3181	2
7	-72.5547	-40.5399	1
8	-72.5547	-40.5399	1
9	-72.5277	-40.5229	1
10	-72.4856	-40.5583	1
11	-72.5836	-40.064	2
12	-72.816	-40.486	1
13	-72.9059	-40.1498	3
14	-73.1067	-40.3218	5
15	-72.9708	-40.1992	3
16	-73.0292	-40.3501	5
17	-73.0764	-40.3326	5
18	-72.7988	-40.1297	2
19	-72.7988	-40.1297	2
20	-72.9393	-40.4742	5
21	-72.7387	-40.0266	2
22	-72.7436	-40.3258	3
23	-72.7436	-40.3258	3
24	-72.425	-40.1115	2
25	-72.461	-40.7469	1
26	-72.4667	-40.7416	1
27	-72.4339	-40.7921	1
28	-72.4339	-40.7921	1
29	-72.7814	-40.2855	3
30	-72.7748	-40.5674	1
31	-72.8321	-40.2601	3
32	-73.1733	-40.9217	4
33	-73.1657	-40.7553	4
34	-72.837	-40.1756	3
35	-72.7799	-40.0819	2
36	-72.802	-40.5349	1
37	-72.9244	-40.3254	3
38	-72.8911	-40.1264	3
39	-72.9367	-40.147	3
40	-72.9002	-40.1522	3
41	-72.7971	-40.2966	3
42	-72.7971	-40.2966	3
43	-72.816	-40.3299	3
44	-73.1405	-40.3669	5
45	-72.5376	-40.3214	2
46	-72.5254	-40.3323	2
47	-72.9196	-40.2698	3
48	-72.8423	-40.1032	3
49	-72.8585	-40.3813	3
50	-72.6328	-40.3712	1
51	-73.0421	-40.3676	5
52	-72.6661	-40.2978	2
53	-72.6887	-40.3075	2
54	-72.6894	-40.3077	2
55	-72.6916	-40.3003	2
56	-72.691	-40.3175	2
57	-72.6139	-40.0891	2
58	-72.5871	-40.0939	2
59	-72.6017	-40.0966	2
60	-72.9882	-40.3864	5
61	-72.6139	-40.0891	2
62	-72.6139	-40.0891	2
63	-73.0926	-40.2952	5
64	-73.0143	-40.2716	5
65	-72.8129	-40.4795	1
66	-72.9876	-40.2232	3
67	-72.9876	-40.2232	3
68	-73.0143	-40.2716	5
69	-72.5612	-40.567	1
70	-73.0501	-40.4325	5
71	-72.5571	-40.4966	1
72	-72.7178	-40.28	2
73	-73.1902	-40.951	4
74	-73.1902	-40.951	4
75	-72.6451	-40.4377	1
76	-72.9572	-40.3067	3
77	-72.5389	-40.1164	2
78	-73.0827	-41.0156	4
79	-73.0108	-40.2829	5
80	-72.7581	-40.4524	1
81	-72.8742	-40.7164	4
82	-72.9175	-40.1635	3
